"","req","item_req","texto_req","grupo_mercadoria","nm","valor_estimado","oportunidade","item_oportunidade"
"2421","4003001403",10,"Atuador pneum. rotativo curso 5""","31251504","000000000012597529",58000,NA,0
"2422","4003007367",10,"Veículo aéreo não trip.c/câmer 4 28 min","25131705","000000000012398619",220000,"7003582651",1
"2423","4003010401",10,"JUNTA P/ PROTEÇÃO CATÓDICA","31181507",NA,1,"7003448121",1
"2424","0030685496",10,"Transm.pressão dif. -300a300psi","41112410","000000000012595686",30000,"7003450001",3
"2425","0030450864",10,"Posicionador intelig. 3,6a200mm","40141600E","000000000011552187",12228.56,NA,0
"2426","0031059608",10,"Válvula borboleta lug fire-safe 24"" 150#","40141619","000000000011841547",88958.88,"7003582114",20
"2427","0030848281",10,"Válv. solenóide RO 1/4""NPT-M 2/2vias","40141605","000000000012629294",32000,"7003584409",3
"2428","0030958170",10,"Vv.controle esfera NPS 6","40141609","000000000011901562",103447.3,NA,0
"2429","0031518547",10,"Guia p/válv.choke TapcoEnpro","40141616","000000000010233891",68318.92,NA,0
"2430","0030544267",10,"Tubo inox A312-317L s/c 10""x0.365"" Sch40","40142117","000000000010376970",21503.9,"7003452384",3
"2431","0030741730",10,"Atuador pneum. linear curso 20,32mm","31251504","000000000011158320",13892.67,NA,0
"2432","0030741731",10,"Atuador pneum. linear curso 20,32mm","31251504","000000000011158320",13892.67,"7003598899",3
"2433","0029093508",10,"Cabo potência 15kV 1x 185mm² HEPR ST2","26121629","000000000011225504",82.87,NA,0
"2434","0029093508",20,"Cabo potência 15kV 1x 185mm² HEPR ST2","26121629","000000000011225504",209.63,"7003447433",1
"2435","0029133374",10,"Placa eletrônica p/nobreak Ametek","39121011A","000000000012503814",22242.83,NA,0
